id	url
img00001	https://www.presidencia.pt/media/bspfpsfp/231201-prmrs-mfl-0461-4542.jpg
img00002	https://www.presidencia.pt/media/qtykiajw/231201-prmrs-mfl-0009-4379.jpg
img00003	https://www.presidencia.pt/media/b3dimsgo/231201-prmrs-mfl-0582-4600.jpg
img00004	https://www.presidencia.pt/media/ebumufgj/231201-prmrs-mfl-0232-4525.jpg
img00005	https://www.presidencia.pt/media/fn4b3drm/231201-prmrs-mfl-0430-8172.jpg
img00006	https://www.presidencia.pt/media/xrbjagao/231201-prmrs-mfl-0627-8244.jpg
img00007	https://www.presidencia.pt/media/fcgjzuut/231201-prmrs-mfl-0158-4467.jpg
img00008	https://www.presidencia.pt/media/4w5aq3ki/231201-prmrs-mfl-0199-4492.jpg
img00009	https://www.presidencia.pt/media/etqm5ee1/231201-prmrs-mfl-0429-8126.jpg
img00010	https://www.presidencia.pt/media/cyppqnl1/231201-prmrs-mfl-0604-8221.jpg
img00011	https://www.presidencia.pt/media/0rwbyk24/231201-prmrs-mfl-0568-8208.jpg
img00012	https://www.presidencia.pt/media/neflnshn/231201-prmrs-mfl-0516-4581.jpg
img00013	https://www.presidencia.pt/media/d3dbcjli/231130-prmrs-mfl-0569-7788.jpg
img00014	https://www.presidencia.pt/media/ebheny2u/231130-prmrs-mfl-0561-4368.jpg
img00015	https://www.presidencia.pt/media/pk3hmj1o/231130-prmrs-mfl-0448-7686.jpg
img00016	https://www.presidencia.pt/media/4cremgfq/231130-prmrs-mfl-0466-7704.jpg
img00017	https://www.presidencia.pt/media/2foabk1y/231130-prmrs-mfl-0379-7617.jpg
img00018	https://www.presidencia.pt/media/hyybgazb/231130-prmrs-mfl-0363-7601.jpg
img00019	https://www.presidencia.pt/media/a3znxiwc/231130-prmrs-mfl-0290-7528.jpg
img00020	https://www.presidencia.pt/media/by2a2cmo/231130-prmrs-mfl-0302-7540.jpg
img00021	https://www.presidencia.pt/media/csafp4vt/231130-prmrs-mfl-0255-7493.jpg
img00022	https://www.presidencia.pt/media/ltgbcok3/231130-prmrs-mfl-0259-7497.jpg
img00023	https://www.presidencia.pt/media/1mdbe1tk/231130-prmrs-mfl-0187-7425.jpg
img00024	https://www.presidencia.pt/media/nhrhc4yn/231130-prmrs-mfl-0199-7437.jpg
img00025	https://www.presidencia.pt/media/fbmku4wr/231130-prmrs-mfl-0628-7848.jpg
img00026	https://www.presidencia.pt/media/y0zljw2w/231130-prmrs-mfl-0597-7817.jpg
img00027	https://www.presidencia.pt/media/0ujp0wky/231130-prmrs-mfl-0104-7342.jpg
img00028	https://www.presidencia.pt/media/jihpwhwf/231130-prmrs-mfl-0095-7333.jpg
img00029	https://www.presidencia.pt/media/y5thpn2h/231130-prmrs-mfl-0053-7291.jpg
img00030	https://www.presidencia.pt/media/jo5hzb51/231130-prmrs-mfl-0071-7309.jpg
img00031	https://www.presidencia.pt/media/wpvh5tbr/231130-prmrs-mfl-0136-7374.jpg
img00032	https://www.presidencia.pt/media/r4oezczt/231130-prmrs-mfl-0161-7399.jpg
img00033	https://www.presidencia.pt/media/0snjzbgx/231128-prmrs-mfl-0538-3755.jpg
img00034	https://www.presidencia.pt/media/0g2oxcgg/231128-prmrs-mfl-0591-7025.jpg
img00035	https://www.presidencia.pt/media/c40gwkj2/231128-prmrs-mfl-0543-3760.jpg
img00036	https://www.presidencia.pt/media/vbalqukz/231128-prmrs-mfl-0495-6993.jpg
img00037	https://www.presidencia.pt/media/iv0hz2vv/231128-prmrs-mfl-0565-3778.jpg
img00038	https://www.presidencia.pt/media/pkhhznsx/231128-prmrs-mfl-0490-6991.jpg
img00039	https://www.presidencia.pt/media/hdylmtog/231128-prmrs-mfl-0505-3724.jpg
img00040	https://www.presidencia.pt/media/g2mibkzm/231128-prmrs-mfl-0631-3798.jpg
img00041	https://www.presidencia.pt/media/v2lfwsj1/231128-prmrs-mfl-0562-7006.jpg
img00042	https://www.presidencia.pt/media/1qgmfuum/231128-prmrs-mfl-0577-7011.jpg
img00043	https://www.presidencia.pt/media/fnjne03p/231128-prmrs-mfl-0032-6542.jpg
img00044	https://www.presidencia.pt/media/kp4ayjco/231128-prmrs-mfl-0052-6562.jpg
img00045	https://www.presidencia.pt/media/c1jjxooo/231128-prmrs-mfl-0132-6642.jpg
img00046	https://www.presidencia.pt/media/ptal1dsc/231128-prmrs-mfl-0134-6644.jpg
img00047	https://www.presidencia.pt/media/s1ubhxsb/231128-prmrs-mfl-0020-6530.jpg
img00048	https://www.presidencia.pt/media/xyag4ija/231128-prmrs-mfl-0037-6547.jpg
img00049	https://www.presidencia.pt/media/kpxbxyrf/231128-prmrs-mfl-0257-6767.jpg
img00050	https://www.presidencia.pt/media/wxzdqqi3/231128-prmrs-mfl-0266-6776.jpg
img00051	https://www.presidencia.pt/media/zrlbkfif/231128-prmrs-mfl-0313-6823.jpg
img00052	https://www.presidencia.pt/media/0rqi00w0/231128-prmrs-mfl-0240-6750.jpg
img00053	https://www.presidencia.pt/media/isqfufvt/231128-prmrs-mfl-0119-6629.jpg
img00054	https://www.presidencia.pt/media/in0ibk2i/231128-prmrs-mfl-0153-6663.jpg
img00055	https://www.presidencia.pt/media/5pvh4mip/231123-prmrs-ro-0022.jpg
img00056	https://www.presidencia.pt/media/i5fmvnmb/231123-prmrs-ro-0017.jpg
img00057	https://www.presidencia.pt/media/acujbf24/231123-prmrs-ro-0035.jpg
img00058	https://www.presidencia.pt/media/gykgiquc/231123-prmrs-ro-0010.jpg
img00059	https://www.presidencia.pt/media/wb1ioevl/231123-prmrs-ro-0001.jpg
img00060	https://www.presidencia.pt/media/yj4pzmzu/231123-prmrs-ro-0008.jpg
img00061	https://www.presidencia.pt/media/b5ykru3m/231123-prmrs-ro-0028.jpg
img00062	https://www.presidencia.pt/media/4iqioeb3/231123-prmrs-ro-0018.jpg
img00063	https://www.presidencia.pt/media/wf5fdhbf/231123-prmrs-ro-0019-6122.jpg
img00064	https://www.presidencia.pt/media/dprlkt14/231123-prmrs-ro-0014-6109.jpg
img00065	https://www.presidencia.pt/media/gnqjrtzh/231123-prmrs-ro-0012-6086.jpg
img00066	https://www.presidencia.pt/media/l5sdkdx1/231123-prmrs-ro-0006-6332.jpg
img00067	https://www.presidencia.pt/media/p4cnkrrl/231123-prmrs-ro-0032-6388.jpg
img00068	https://www.presidencia.pt/media/5pjbufbr/231123-prmrs-ro-0005-6329.jpg
img00069	https://www.presidencia.pt/media/1ouagr0n/231122-prmrs-ro-0016-4043.jpg
img00070	https://www.presidencia.pt/media/3vfdnaqn/231122-prmrs-ro-0049-4129.jpg
img00071	https://www.presidencia.pt/media/3p0fh2se/231122-prmrs-ro-0008-8422.jpg
img00072	https://www.presidencia.pt/media/nzrpwmal/231122-prmrs-ro-0010-8426.jpg
img00073	https://www.presidencia.pt/media/fdfd2s5t/231122-prmrs-ro-0014-8491.jpg
img00074	https://www.presidencia.pt/media/cgacllhu/231122-prmrs-ro-0001-3965.jpg
